"Company","Country"
"Korea Institute of Indsutrial Technology, Avionics Components & System Technology Center","Korea,Republic"
"KOREA JIG & FIXTURE","Korea,Republic"
"KOREA LOST-WAX CO.,LTD.","Korea,Republic"
"Korea National Instrument","Korea,Republic"
"KOREA NON-FERROUS METALS,. CO. LTD","Korea,Republic"
"KOREA PRECISION MACHINING CO.,LTD.","Korea,Republic"
"Korea Soft Space Inc.","Korea,Republic"
"Korean Air Lines Co.,Ltd.","Korea,Republic"
"KOVICO (Korea Vehicle & Ind. Co., ltd)","Korea,Republic"
"Kyeong In Tech Co.,Ltd.","Korea,Republic"
"L-3","USA"
"LACROIX","France"
"Land Forces 2016","Australia"
"Leading Aero Company(LACO)","Korea,Republic"
"Legatus Gilsang","Korea,Republic"
"LEM Tech","Korea,Republic"
"LICT","Korea,Republic"
"LIG Nex1 Co.,Ltd.","Korea,Republic"
"LIG POONGSAN PROTECH Co.,Ltd.","Korea,Republic"
"LnZ Optronics","Korea,Republic"
"Lockheed Martin","USA"
"LOGIC S.p.A.","Italy"
"LORD Corporation","USA"
"Lubrication Sciences International","USA"
"Lumantek","Korea,Republic"
"M.J. TRADING CO","Korea,Republic"
"MACOM","Korea,Republic"
"MAJOR ADS INC","Korea,Republic"
"March Electronics Inc.","USA"
"Martin-Baker Aircraft Company Ltd.","United Kingdom"
"MBDA","France"
"MDS Technology Co., Ltd.","Korea,Republic"
"METANETWORKS CO, LTD.","Korea,Republic"
"MIDORIYA ELECTRIC KOREA CO., LTD.","Korea,Republic"
"Ministry of Defence of the Republic of Indonesia","Indonesia"
"Ministry of National Defence of the Republic of Poland","Poland"
"MKU GmbH","Germany"
"MKU Pvt Ltd","India"
"Modootel Limited","Korea,Republic"
"MOOG Components Group","USA"
"N.I.TECH Co., Ltd.","Korea,Republic"
"Navcours Co., Ltd.","Korea,Republic"
"Neuros Co., Ltd.","Korea,Republic"
"NEXEYA","France"
"NICOMATIC KOREA","Korea,Republic"
"NIP Co., Ltd.","Korea,Republic"
"Northrop Grumman Corporation","Korea,Republic"
"NSE","Korea,Republic"
"NYCO","France"
"Ocean Software","Australia"
"ODU GmbH & CO. KG","Germany"
"OEwaves","USA"
"OLZETEK","Korea,Republic"
"Omnisys LTD","Israel"
"Orbital ATK","USA"
"Orion Advanced Systems Ltd.","Israel"
"OSI Optoelectronics","USA"
"OWR GmbH","Germany"
"Paine Electronics, LLC","USA"
"PALDAN INDUSTRY","Korea,Republic"
"Pamanong Trading Co.","Korea,Republic"
"PANOPTICS Corporation","Korea,Republic"
"Parker Aerospace","USA"
"PartDB Co., Ltd","Korea,Republic"
"Pearson Engineering Ltd","United Kingdom"
"Pelican Products, Inc","USA"
"Peoplewokrs inc.","Korea,Republic"
"PMX Industries, Inc.","USA"
"Poongsan Corporation","Korea,Republic"
"Poongsan Saudi Arabia Office","Saudi Arabia"
"Positronic Asia Pte Ltd","Singapore"
"Pratt & Whitney","USA"
"Project Performance International","Australia"
"Protool","Korea,Republic"
"PSIONdsp","Korea,Republic"
"PT Dirgantara Indonesia","Indonesia"
"RADA Electronic Industries Ltd.","Israel"
"RAFAEL - Advanced Defense Systems Ltd.","Israel"
"RAFAUT","France"
"Raytheon Company","USA"
"REO Co., Ltd(Stevens Tech Korea)","Korea,Republic"
"RF MORECOM COREA","Korea,Republic"
"RFcore","Korea,Republic"
"Rockwell Collins","USA"
"Roder HTS Hocker GmbH","Germany"
"ROK Air Force","Korea,Republic"
"ROK Marine Corps","Korea,Republic"
"Roketsan Missiles Industries","Turkey"
"Rolls-Royce","Korea,Republic"
"ROTAC Co.,Ltd","Korea,Republic"
"Rotair Industries, Inc.","USA"
"RTST Co., Ltd.","Korea,Republic"
"RUAG","Switzerland"
"S&K Aerospace Co., Ltd.","Korea,Republic"
"S&T Dynamics Co., Ltd.","Korea,Republic"
"S&T MOTIV CO.,Ltd","Korea,Republic"
"SAAB AB","Sweden"
"SAFRAN","France"
"SAMCO(Sacheon Aerospace Manufacturing Ind. Co., Ltd.","Korea,Republic"
"Samjeong Turbine Co.,Ltd.","Korea,Republic"
"SamTra International","Korea,Republic"
"SanCheong Co., Ltd","Korea,Republic"
"SAP Media Worldwide Ltd","India"
"SCD - Semi Conductor Devices","Israel"
"SD CORPORATION","Korea,Republic"
"SENSONOR","Norway"
"Seongnam City","Korea,Republic"
"SEREME","France"
"SESA - Sharp Elbit Systems Aerospace","Korea,Republic"
"SEWOO AEROSPACE CO., LTD","Korea,Republic"
"Shephard Media","United Kingdom"
"Shin Il Corporation","Korea,Republic"
"SHINHEUNG SEJIN Co. LTD","Korea,Republic"
"SI Imaging Services","Korea,Republic"
"SIBAT - ISRAEL MINISTRY OF DEFENSE","Israel"
"SIGNALTEC","Korea,Republic"
"Silent Falcon UAS","Korea,Republic"
"SM CNS","Korea,Republic"
"Smartline Co., Ltd.","Korea,Republic"
"SMARTSYSTEC","Korea,Republic"
"SMB AUTO WIDE CO., LTD","Korea,Republic"
"SMG CO, LTD","Korea,Republic"
"Snap-on","Korea,Republic"
"SOFRADIR","France"
"Soltworks Co., Ltd","Korea,Republic"
"Soosung Airframe Ind., Ltd","Korea,Republic"
"SORD Australia","Australia"
"South African Aerospace Maritime & Defence Industries Associatioin (AMD)","South Africa"
"South African Embassy","Korea,Republic"
"State of Virginia","USA"
"SUNGHAN CORPORATION CO., LTD","Korea,Republic"
"SungJin C&T Co.Ltd.","Korea,Republic"
"Sungsan System Technology Co.","Korea,Republic"
"SUNYOUNG SYSTEC INC.","Korea,Republic"
"Supacat","Australia"
"Swift Aerospace Services Ltd.","United Kingdom"
"SY Corp.","Japan"
"SYNQOR ,INC","USA"
"TAURUS Systems GmbH","Germany"
"TAURUS Systems Korea Co.,Ltd.","Korea,Republic"
"TCOM L.P.","USA"
"TCT(Turbo CAM Technology)","Korea,Republic"
"TE Connectivity","USA"
"Team Defence Australia","Australia"
"TECHSAN-ENG Co., Ltd.","Korea,Republic"
"Terma A S","Denmark"
"Testmation","Korea,Republic"
"Textron Systems","USA"
"Thales Korea","Korea,Republic"
"The SBAS Program Office","Korea,Republic"
"The Society of Japanese Aerospace Companies (SJAC)","Japan"
"TITEFLEX AEROSPACE","France"
"Tokyo Big Sight Inc.","Japan"
"TONE CO., LTD.","Japan"
"Triumph Aerospace Systems - Newport News","USA"
"Triumph Aerospace Systems - Seattle","USA"
"Triumph Gear Systems - Park City","USA"
"U.S. Air Tool Co.","USA"
"Ubi Tronix","Korea,Republic"
"UconSystem Co.,Ltd.","Korea,Republic"
"UK Trade & Investment - Defence & Security Organisation","United Kingdom"
"Ulti-Mate Connector","USA"
"UNIMAX Information System","Korea,Republic"
"Uniontech","Korea,Republic"
"UTC Aerospace Systems","United Kingdom"
"Utech Corperation","Korea,Republic"
"U-Tel Co., Ltd.","Korea,Republic"
"VARRAM SYSTEM","Korea,Republic"
"VICTEK","Korea,Republic"
"VITZROCELL","Korea,Republic"
"W&E Platt","Australia"
"W. L. Gore & Associates (Korea) Ltd.","Korea,Republic"
"Wamore, Inc.","USA"
"Washington State Department of Commerce","USA"
"WILL-BURT","Korea,Republic"
"Woojin Inc","Korea,Republic"
"Wooribyul Co., Ltd.","Korea,Republic"
"WP-TECH","Korea,Republic"
"Yeongcheon City Hall","Korea,Republic"
"YEONHAB PRECISION CO.,LTD.","Korea,Republic"
"YOUL SYSTEMS INC","Korea,Republic"
"YOUYANG AIRPORT LIGHTING EQUIPMENT INC.","Korea,Republic"
