Slug,Start date,End date,Organiser,Exhibitor,Delegation,Website,Alias
dprte-2014,2014-10-08,2014-10-08,1,102,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2014"
dprte-2016,2016-03-16,2016-03-16,1,128,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2016"
dprte-2017,2017-03-28,2017-03-28,1,115,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2017"
dprte-2018,2018-03-27,2018-03-27,1,84,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2018"
dprte-2019,2019-03-28,2019-03-28,1,113,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2019"
dprte-2020,2020-09-03,2020-09-03,1,127,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2020"
dprte-2021,2021-10-05,2021-10-05,1,99,,https://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2021"
dprte-2022,2022-05-05,2022-05-05,,61,,https://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2021"
,,,,,,,
dsa-2004,2004-04-12,2004-04-15,,333,17,http://www.dsa2004.com,9th Defence Services Asia Exhibition and Conference
dsa-2006,2006-04-24,2006-04-27,2,509,,http://www.dsaexhibition.com,10th Defence Services Asia Exhibition and Conference
dsa-2008,2008-04-21,2008-04-24,2,712,50,http://www.dsaexhibition.com,11th Defence Services Asia Exhibition and Conference
dsa-2010,2010-04-19,2010-04-22,1,830,,http://www.dsaexhibition.com,12th Defence Services Asia Exhibition and Conference
dsa-2012,2012-04-16,2012-04-19,1,828,,http://www.dsaexhibition.com,13th Defence Services Asia Exhibition and Conference
dsa-2014,2014-04-14,2014-04-17,2,832,,http://www.dsaexhibition.com,14th Defence Services Asia Exhibition and Conference
dsa-2016,2016-04-18,2016-04-21,4,640,,http://www.dsaexhibition.com,18th Defence Services Asia Exhibition and Conference
dsa-2018,2018-04-16,2018-04-19,4,1075,,http://www.dsaexhibition.com,16th Defence Services Asia Exhibition and Conference
dsa-2022,2022-03-28,2022-03-31,1,625,,http://www.dsaexhibition.com,17th Defence Services Asia Exhibition and Conference;NATSEC Asia 2022
,,,,,,,
dsei-1999,1999-09-14,1999-09-17,2,888,61,http://www.dsei.co.uk,Defence and Systems Equipment International 1999
dsei-2001,2001-09-11,2001-09-14,2,308,52,http://www.dsei.co.uk,Defence and Systems Equipment International 2001
dsei-2003,2003-09-09,2003-09-12,2,144,61,http://www.dsei.co.uk,Defence and Systems Equipment International 2003
dsei-2005,2005-09-13,2005-09-16,2,1202,61,http://www.dsei.co.uk,Defence and Systems Equipment International 2005
dsei-2007,2007-09-11,2007-09-14,2,1003,59,http://www.dsei.co.uk,Defence and Systems Equipment International 2007
dsei-2009,2009-09-08,2009-09-11,2,1249,59,http://www.dsei.co.uk,Defence and Security Equipment International 2009
dsei-2011,2011-09-13,2011-09-16,2,1198,65,http://www.dsei.co.uk,Defence and Security Equipment International 2011
dsei-2013,2013-09-10,2013-09-13,2,1437,69,http://www.dsei.co.uk,Defence and Security Equipment International 2013
dsei-2015,2015-09-15,2015-09-18,2,1489,61,http://www.dsei.co.uk,Defence and Security Equipment International 2013
dsei-2017,2017-09-12,2017-09-15,2,1590,56,http://www.dsei.co.uk,Defence and Security Equipment International 2013
dsei-2019,2019-09-10,2019-09-13,2,2192,68,http://www.dsei.co.uk,Defence and Security Equipment International 2019
dsei-2021,2021-09-14,2021-09-17,2,805,,https://www.dsei.co.uk,Defence and Security Equipment International 2021
dsei-2023,2023-09-12,2023-09-15,2,,,https://www.dsei.co.uk,Defence and Security Equipment International 2023
,,,,,,,
dubai-airshow-2001,2001-11-04,2001-11-08,,,,http://www.dubaiairshow.org,
dubai-airshow-2003,2003-11-07,2003-11-11,1,538,,http://www.dubaiairshow.org,
dubai-airshow-2005,2005-11-20,2005-11-24,1,737,,http://www.fairs-exhibs.com/airshow05/,
dubai-airshow-2007,2007-11-11,2007-11-14,1,826,,http://www.dubaiairshow.org,
dubai-airshow-2009,2009-11-15,2009-11-19,2,657,,https://www.dubaiairshow.aero,
dubai-airshow-2011,2011-11-13,2011-11-17,1,870,,https://www.dubaiairshow.aero,
dubai-airshow-2013,2013-11-17,2013-11-21,1,1041,,https://www.dubaiairshow.aero,
dubai-airshow-2015,2015-11-08,2015-11-12,1,822,,https://www.dubaiairshow.aero,
dubai-airshow-2017,2017-11-12,2017-11-16,1,461,,https://www.dubaiairshow.aero,
dubai-airshow-2019,2019-11-17,2019-11-21,1,1199,,https://www.dubaiairshow.aero,
dubai-airshow-2021,2021-11-14,2021-11-18,1,844,,https://www.dubaiairshow.aero,
dubai-airshow-2023,2023-11-12,2023-11-16,1,,,https://www.dubaiairshow.aero,
,,,,,,,
dx-korea-2020,2020-11-18,2020-11-20,,100,,http://www.dxkorea.org,Defense Expo Korea 2020;Defense & Security Expo Korea 2020
dx-korea-2022,2022-09-21,2022-09-25,4,,,http://www.dxkorea.org,Defense Expo Korea 2022
,,,,,,,
edex-2018,2018-12-03,2018-12-05,1,279,,https://www.egyptdefenceexpo.com,Egypt Defence Expo 2018
edex-2021,2021-11-29,2021-12-02,1,344,,https://www.egyptdefenceexpo.com,Egypt Defence Expo 2021
